owner_no,owner_name,description,manufacturer_code,price,
6,TravisPerkins,Makita  Lxt Angle Grinder Body Only 18V 115mm,DGA452Z,102,
6,TravisPerkins,Makita  10in Slide Compound Mitre Saw with Laser Guide 110V 260mm,LS1018LN,360,
6,TravisPerkins,Makita 18V Li-ion 4.0AH LXT Battery ,BL1840,74.4,
6,TravisPerkins,Makita  Bandsaw 240V,LB1200F,528,
6,TravisPerkins,Makita  230mm and 115mm Angle Grinder Twin Pack 110V,DK0056Z1,116.35,
6,TravisPerkins,Makita  Lxt Pin Nailer Body Only 18V,DPT353Z,330,
6,TravisPerkins,Makita  Table Mitre Saw 240V,LH1201FL,408,
6,TravisPerkins,Makita  Wet Stone Polisher 110V,PW5000C,270,
6,TravisPerkins,Makita  Lxt Brushless Oil Pulse Driver Body Only 18V,DTS141ZJ,288,
6,TravisPerkins,Makita  Lxt Brushless Router Trimmer Body Only 18V,DRT50ZX4,168,
4,Homebase,Bosch  Electric 500W Compact Jigsaw,PST 700,55,
4,Homebase,Bosch  PEL Electric 530W Compact Jigsaw,PST 800,70,
4,Homebase,Ryobi ONE+ 18V Jigsaw  (Tool only),RJ18JS-0,70,
4,Homebase,Ryobi  AC 500W Action Jigsaw,RJS720-G,45,
4,Homebase,Ryobi  800W Percussion Drill,RPD800K,65,
4,Homebase,Ryobi  AC 1000W 2 Speed Drill,RPD1010-K,100,
4,Homebase,Stanley 115mm Metal Cutting Disc ,STA32025-QZ,2,
4,Homebase,Stanley 125mm Metal Cuting Disc ,STA32030-QZ,3,
4,Homebase,Stanley 115mm Metal Grinding Disc ,STA32050-QZ,2.5,
4,Homebase,Stanley 125mm Metal Grinding Disc ,STA32055-QZ,3,
4,Homebase,Stanley 230mm Metal Cutting Disc , STA32040-QZ,4,
4,Homebase,Stanley 125mm Metal Cutting Disc Pack , STA32033-QZ,10,
4,Homebase,Stanley 115mm Metal Cutting Disc Pack , STA32800-QZ,9,
4,Homebase,Stanley 230mm Metal Cutting Disk Pack , STA32805-QZ,15,
4,Homebase,Stanley 115mm Stone Cutting Disc , STA32075-QZ,2.2,
2,Screfix,Makita  3.3kg Electric  SDS Plus Drill 240V,HR2470WX,139.99,
2,Screfix,Makita  2.9kg 18V Li-Ion LXT  Cordless SDS Rotary Hammer Drill - Bare,DHR202Z,129.99,
2,Screfix,Makita  3.5kg 18V 4.0Ah Li-Ion LXT  Cordless SDS Plus Drill,DHR202SMW,199.99,
2,Screfix,Makita 1 3.3kg Electric  SDS Plus Drill 110V,HR2470WX,139.99,
2,Screfix,Makita  2.7kg 18V Li-Ion LXT Brushless Cordless SDS Plus Drill - Bare,DHR242Z,199.99,
2,Screfix,Makita  4.14kg 18V 4.0Ah Li-Ion LXT  Cordless SDS Rotary Hammer Drill,DHR202RM1J,229.99,
2,Screfix,Makita  3.3kg Electric  SDS Plus Drill 240V,HR2630,179.99,
2,Screfix,Makita  2.7kg 18V 4.0Ah Li-Ion LXT Brushless Cordless SDS Plus Drill,DHR242RMJ,399.99,
2,Screfix,Makita  5.2kg Electric  SDS Plus Drill 110V,HR3210C,399.99,
2,Screfix,Makita  2.8kg Electric  SDS Plus Drill 110V,HR2630,179.99,
2,Screfix,Makita  4kg 18V 4.0Ah Li-Ion   Cordless SDS Plus Drill,DHR202RMJ,299.99,
2,Screfix,Makita  3.3kg 18V Li-Ion   Cordless SDS Plus Drill - Bare,DHR241Z,159.99,
2,Screfix,Makita  11.9kg Electric  SDS Max Drill 240V,HR5212C,809.99,
2,Screfix,Makita  5.6kg Electric  SDS Plus Drill 240V,HR3210C,399.99,
